,City,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
105,Bubaque,GW,11.28,-15.83,82.84,78,0,8.32
106,Bluff,NZ,-46.6,168.33,58.59,96,0,11.56
107,Ponta do Sol,PT,32.67,-17.1,57.65,77,40,3.36
108,Tasiilaq,GL,65.61,-37.64,23,73,80,18.34
109,Clyde River,CA,70.47,-68.59,-7.61,83,1,4.7
110,Marawi,SD,18.48,31.82,63.18,29,0,9.78
111,Pemba,MZ,-12.97,40.52,78.19,94,20,6.93
112,Constitucion,CL,-35.33,-72.42,61.69,85,48,13.69
113,Husavik,IS,66.04,-17.34,33.8,74,75,14.99
114,Hilo,US,19.71,-155.08,68.52,68,90,10.29
115,Upernavik,GL,72.79,-56.15,11.29,100,80,10.22
116,Fairbanks,US,64.84,-147.72,22.53,85,90,3.74
117,Jamestown,SH,-15.94,-5.72,77.17,99,80,17.05
118,Soyo,AO,-6.13,12.37,79.69,86,56,4.63
119,Longyearbyen,SJ,78.22,15.64,-4.01,70,75,6.93
120,Kruisfontein,ZA,-34,24.73,63.36,85,0,5.41
121,Susuman,RU,62.78,148.15,-31.37,46,12,2.62
122,Ammon,US,43.47,-111.97,26.69,73,1,8.05
123,Qaanaaq,GL,77.48,-69.36,-6.71,85,0,11.56
124,Pevek,RU,69.7,170.27,-2.35,83,64,8.43
125,Takoradi,GH,4.89,-1.75,83.11,97,68,9.44
126,Mawlaik,MM,23.63,94.42,59.17,75,8,2.06
127,Usak,TR,38.67,29.41,38.79,100,92,1.95
128,Ada,US,42.95,-85.49,18.23,44,20,12.75
129,Hofn,IS,64.25,-15.21,36.81,100,88,38.86
130,Imbituba,BR,-28.24,-48.67,78.8,83,40,8.05
131,Hovd,MN,48.01,91.64,-3.83,43,12,1.61
132,Victoria,SC,-4.62,55.45,80.6,88,92,3.36
133,Kuching,MY,1.56,110.34,77,94,75,0.72
134,Aklavik,CA,68.22,-135.01,12.2,51,75,3.36
135,Severo-Kurilsk,RU,50.68,156.12,24.7,100,56,22.53
136,Elizabeth City,US,36.3,-76.22,47.84,76,90,4.7
137,Hearst,CA,49.69,-83.67,7.11,45,48,3.74
138,Kavieng,PG,-2.57,150.8,83.38,100,32,6.31
139,Northam,GB,51.04,-4.21,44.33,76,20,8.05
140,Okato,NZ,-39.19,173.88,69.48,58,0,5.01
141,Mayo,CA,63.59,-135.9,8.6,46,20,2.24
142,Boralday,KZ,43.36,76.86,30.2,92,90,2.24
143,Vaitape,PF,-16.52,-151.75,83.11,100,24,3.74
144,Bitung,ID,1.44,125.19,69.8,100,20,12.68
145,Torbay,CA,47.66,-52.73,22.28,85,90,20.8
146,Lebu,CL,-37.62,-73.65,58.18,90,0,10.45
147,Taraz,KZ,42.89,71.39,35.87,74,0,2.24
148,Bathsheba,BB,13.22,-59.52,78.8,69,20,19.46
149,Calderitas,MX,18.55,-88.26,84.2,66,40,17.22
150,Belaya Gora,RU,68.54,146.19,-30.47,50,0,4.18
151,Arraial do Cabo,BR,-22.97,-42.02,79.59,83,75,5.82
152,Thanh Hoa,VN,10.21,106.33,69.8,100,20,4.7
153,Los Llanos de Aridane,ES,28.66,-17.92,60.37,68,75,9.17
154,Dubbo,AU,-32.25,148.6,75.2,57,0,5.82
155,Makakilo City,US,21.35,-158.09,76.01,39,20,6.93
156,Springfield,US,39.8,-89.64,20.07,57,20,16.11
157,Mehamn,NO,71.03,27.85,23.07,85,75,28.86
158,New Norfolk,AU,-42.78,147.06,60.24,62,0,5.82
159,Nipawin,CA,53.36,-104.02,8.6,65,90,13.87
160,Zverinogolovskoye,RU,54.46,64.85,27.04,91,92,17.83
161,Ferrol,ES,43.48,-8.23,54.64,71,40,14.99
162,Eucaliptus,BO,-17.6,-67.51,66.1,29,0,6.87
163,Tolaga Bay,NZ,-38.37,178.3,66.19,63,0,3.62
164,Dolinsk,RU,47.32,142.8,3.2,84,90,1.72
165,Puerto Ayora,EC,-0.74,-90.35,86,70,40,11.41
166,Port Blair,IN,11.67,92.75,81.58,100,0,1.95
167,Pitlochry,GB,56.7,-3.73,41.14,93,75,2.24
168,Xining,CN,36.62,101.77,13.68,58,20,2.84
169,Nara,ML,15.17,-7.29,65.47,34,0,5.08
170,Houston,CA,54.4,-126.65,15.8,33,5,2.24
171,Ilulissat,GL,69.22,-51.1,19.4,79,76,6.93
172,Sao Jose da Coroa Grande,BR,-8.9,-35.15,79.83,86,76,10.67
173,Loei,TH,17.49,101.72,65.92,96,0,5.3
174,Itarema,BR,-2.92,-39.92,75.46,99,88,2.95
175,Carballo,ES,43.21,-8.69,54.72,71,40,14.99
176,Alofi,NU,-19.06,-169.92,84.2,74,76,8.05
177,Kaitangata,NZ,-46.28,169.85,58.68,78,0,4.52
178,San Cristobal,EC,-1.02,-79.44,64.93,100,92,2.95
179,Cidreira,BR,-30.17,-50.22,78.07,69,8,10.56
180,Prince Rupert,CA,54.32,-130.32,41,13,1,4.7
181,Nouadhibou,MR,20.93,-17.03,66.2,59,0,17.22
182,Narsingi,IN,18.04,78.43,75.99,61,0,1.99
183,Atuona,PF,-9.8,-139.03,80.28,100,92,12.35
184,Touros,BR,-5.2,-35.46,80.6,88,75,4.7
185,Fortuna,US,40.6,-124.16,55.49,100,90,11.41
186,Haines Junction,CA,60.75,-137.51,10.57,82,32,2.84
187,Norman Wells,CA,65.28,-126.83,5,54,5,2.24
188,Seoul,KR,37.57,126.98,37.18,69,20,2.24
189,Imperia,IT,43.88,8.02,46.54,81,0,5.82
190,Yulara,AU,-25.24,130.99,78.8,24,0,8.05
191,Ovalle,CL,-30.6,-71.2,72.04,80,0,3.74
192,Flin Flon,CA,54.77,-101.88,6.8,55,90,14.99
193,Constitucion,MX,23.99,-104.67,83.59,7,20,6.93
194,Adelaide,ZA,-32.71,26.3,66.28,74,0,4.52
195,Ola,RU,59.58,151.3,-3.38,100,0,9.1
196,Nikolskoye,RU,59.7,30.79,15.93,85,20,4.47
197,Sao Filipe,CV,14.9,-24.5,72.54,88,0,17.05
198,Barrow,US,39.51,-90.4,19.02,57,1,16.11
199,Raudeberg,NO,61.99,5.14,38.95,81,92,13.87
200,Ahipara,NZ,-35.17,173.16,70,86,24,1.99
201,Mopti,ML,14.49,-4.19,78.8,38,0,13.87
202,Port Hardy,CA,50.7,-127.42,33.8,74,90,24.16
203,Saldanha,ZA,-33.01,17.94,66.2,77,0,1.12
204,Zharkent,KZ,44.17,80,11.79,71,0,2.39
205,Pierre,US,44.37,-100.35,0.46,70,75,26.4
206,Mamou,GN,10.37,-12.08,71.23,56,0,2.51
207,Peniche,PT,39.36,-9.38,58.17,87,75,11.41
208,Herat,AF,34.35,62.22,33.25,79,0,3.96
209,Gambela,ET,8.25,34.59,66.55,78,32,0.49
210,Grindavik,IS,63.84,-22.43,38.57,74,0,20.8
211,Ahuimanu,US,21.44,-157.84,76.15,64,1,11.41
212,Port Elizabeth,ZA,-33.92,25.57,66.2,93,0,5.82
213,Visby,SE,57.64,18.3,41,80,75,14.99
214,Bucerias,MX,20.76,-105.33,79.23,65,5,8.05
215,Tiksi,RU,71.64,128.87,-5.95,70,56,8.66
216,Skjervoy,NO,70.03,20.97,26.6,86,75,20.8
217,Mount Isa,AU,-20.73,139.49,73.4,73,0,5.75
218,Faanui,PF,-16.48,-151.75,83.34,100,20,5.64
219,Yar-Sale,RU,66.83,70.83,1.21,89,80,23.09
220,Kendari,ID,-3.99,122.52,73.21,93,76,0.94
221,Kieta,PG,-6.22,155.63,78.84,100,24,4.41
222,Sao Sepe,BR,-30.16,-53.57,84.2,62,20,9.17
223,Moron,MN,47.38,110.32,14.44,63,44,2.62
224,Cabo San Lucas,MX,22.89,-109.91,81.32,36,5,4.7
225,Dindori,IN,22.94,81.08,55.53,89,20,2.73
226,Oranjemund,NA,-28.55,16.43,63.36,90,64,9.78
227,Ndele,CF,8.41,20.65,82.26,27,8,10.45
228,Jenks,US,36.02,-95.97,24.08,63,90,17.22
229,Cayenne,GF,4.94,-52.33,78.8,74,80,4.7
230,Burnie,AU,-41.05,145.91,61,56,8,1.99
231,Usogorsk,RU,63.43,48.71,-9.5,65,0,2.39
232,Kelvington,CA,52.16,-103.52,0.67,88,44,16.15
233,Kokopo,PG,-4.34,152.27,78.84,100,12,3.18
234,Mineros,BO,-17.12,-63.23,84.2,74,75,13.87
235,Roseburg,US,43.22,-123.34,41.25,72,90,3.36
236,Berlevag,NO,70.86,29.09,20.37,72,40,23.04
237,Guerrero Negro,MX,27.97,-114.04,65.83,68,8,15.26
238,Bonthe,SL,7.53,-12.5,81.94,59,0,5.64
239,Myingyan,MM,21.46,95.39,62.5,85,0,0.6
240,Salinopolis,BR,-0.61,-47.36,76.99,100,92,10.11
241,Kayerkan,RU,69.35,87.76,-10.4,52,0,4.29
242,Ben Tre,VN,10.24,106.37,69.84,100,0,4.18
243,Trelew,AR,-43.25,-65.31,79.69,21,0,10.89
244,Thompson,CA,55.74,-97.86,6.8,65,90,18.34
245,Shingu,JP,33.72,135.99,55.75,100,100,12.12
246,Georgetown,GY,6.8,-58.16,79.86,83,40,11.41
247,Isugod,PH,9.34,118.12,77.13,100,0,3.62
248,Brae,GB,60.4,-1.35,43.83,93,92,10.29
249,Tanabi,BR,-20.63,-49.65,84.2,54,20,6.93
250,Pantai Remis,MY,4.46,100.63,77.7,94,75,3.18
251,Taoudenni,ML,22.68,-3.98,56.92,26,0,5.3
252,Puerto Padre,CU,21.2,-76.61,87.8,40,75,10.29
253,Thung Song,TH,8.16,99.67,71.41,91,8,1.72
254,Riachao das Neves,BR,-11.75,-44.91,80.32,75,80,2.73
255,Kununurra,AU,-15.77,128.74,77,94,0,2.24
256,Ballinrobe,IE,53.62,-9.22,40.59,79,36,1.01
257,Ribeira Grande,PT,38.52,-28.7,57.2,71,75,10.29
258,Akdagmadeni,TR,39.66,35.88,15.25,76,0,2.95
259,Upata,VE,8.02,-62.41,87.01,60,80,3
260,Port Augusta,AU,-32.49,137.76,74.35,77,40,9.17
261,Salalah,OM,17.01,54.1,77,65,20,1.12
262,Taybad,IR,34.74,60.78,39.51,93,0,4.63
263,Uige,AO,-7.61,15.06,65.61,95,48,1.16
264,Fomboni,KM,-12.28,43.74,83.43,100,48,10.45
265,Dong Hoi,VN,17.48,106.6,72.76,100,92,2.39
266,Alice Springs,AU,-23.7,133.88,69.8,30,32,3.36
267,Cairns,AU,-16.92,145.77,74.84,83,75,9.17
268,Mutare,ZW,-18.97,32.67,66.24,87,8,4.07
269,Kloulklubed,PW,7.04,134.26,78.8,83,75,6.93
270,Chapais,CA,49.78,-74.86,12.2,61,90,4.7
271,Mauganj,IN,24.67,81.88,58.23,95,0,4.97
272,Kamenskiy,RU,50.89,45.49,19.26,88,68,18.61
273,Dodge City,US,37.75,-100.02,8.24,65,75,14.99
274,Muravlenko,RU,63.79,74.5,23.89,89,80,18.16
275,Merritt Island,US,28.54,-80.67,82.65,69,1,17.22
276,Leningradskiy,RU,69.38,178.42,9.63,76,32,10.78
277,Ixtapa,MX,20.71,-105.21,79.23,65,5,8.05
278,Sao Joao da Barra,BR,-21.64,-41.05,80.6,83,20,9.17
279,Lichinga,MZ,-13.3,35.25,68,94,75,6.93
280,Quarteira,PT,37.07,-8.1,55.29,76,0,8.05
281,Manga,BR,-14.75,-43.94,84.73,58,12,4.74
282,Terny,UA,50.99,33.98,27.22,82,68,14.03
283,Padang,ID,-0.92,100.36,83.34,100,88,9.33
284,Pangnirtung,CA,66.15,-65.72,-11.21,76,75,4.7
285,Sadao,TH,6.63,100.42,73.22,94,20,5.19
286,Lavrentiya,RU,65.58,-170.99,28.44,92,76,30.69
287,Hounde,BF,11.5,-3.52,73.3,22,0,7.65
288,Chabahar,IR,25.29,60.65,69.43,100,0,13.13
289,Nahrin,AF,36.06,69.13,34.83,99,36,2.39
290,Ruteng,ID,-8.61,120.46,69.61,96,24,1.95
291,Caravelas,BR,-17.73,-39.27,84.01,100,48,13.02
292,Pajapan,MX,18.26,-94.69,95,47,5,6.2
293,Ponta do Sol,CV,17.2,-25.09,71.6,68,40,19.46
294,Paamiut,GL,61.99,-49.67,25.83,100,0,11.79
295,Haapiti,PF,-17.57,-149.87,89.6,66,40,8.05
296,Lagos,PT,37.1,-8.67,54.41,76,0,8.05
297,Vardo,NO,70.37,31.11,13.46,72,40,23.04
298,Mumbwa,ZM,-14.99,27.06,72.63,50,0,8.77
299,Isangel,VU,-19.55,169.27,82.93,95,0,8.55
300,Rohri,PK,27.68,68.91,53.28,93,0,6.42
301,Pundaguitan,PH,6.37,126.17,76.99,100,64,3.96
302,Saint-Pierre,PM,46.77,-56.17,24.33,92,75,13.87
303,Osypenko,UA,48.04,34.39,26.6,73,0,13.42
304,Novovasylivka,UA,48.2,37.04,24.25,72,8,11.68
305,Srivardhan,IN,18.03,73.02,63.49,96,0,3.85
306,Sitka,US,37.17,-99.65,10.99,75,68,5.99
307,Karratha,AU,-20.74,116.85,80.95,49,76,1.39
308,Penzance,GB,50.12,-5.53,45.03,81,40,13.87
309,Dingle,IE,52.14,-10.27,33.8,100,40,4.7
310,Omboue,GA,-1.57,9.26,83.92,99,80,9.33
311,Ballina,AU,-28.87,153.57,71.96,83,40,10.11
312,Kampot,KH,10.62,104.18,71.65,88,0,1.12
313,Iwaki,JP,37.05,140.89,43.07,100,75,13.87
314,Okitipupa,NG,6.5,4.78,83.02,61,48,4.63
315,Acajutla,SV,13.59,-89.83,86.04,55,12,5.64
316,Tuatapere,NZ,-46.13,167.69,57.55,90,0,12.24
317,College,US,64.86,-147.8,22.28,79,75,3.36
318,Bani Walid,LY,31.76,14,47.79,80,0,9.78
319,Umm Lajj,SA,25.02,37.27,56.16,100,0,4.63
320,Atasu,KZ,48.68,71.64,27.58,84,8,13.02
321,Nyurba,RU,63.29,118.35,1.57,69,48,3.74
322,Chake Chake,TZ,-5.25,39.77,84.1,98,8,8.66
323,Korosladany,HU,46.97,21.08,43.66,75,0,11.41
324,Katsuura,JP,33.93,134.5,47.64,100,75,3.36
325,Magelang,ID,-7.48,110.22,77,88,20,2.24
326,Samarinda,ID,-0.5,117.14,77.13,92,12,2.06
327,Rio Grande,BR,-32.03,-52.1,73.4,69,0,8.05
328,Khasan,RU,42.43,130.64,29.16,100,12,5.64
329,Cockburn Town,TC,21.46,-71.14,78.43,96,0,16.82
330,Tilichiki,RU,60.47,166.1,13.99,76,56,5.3
331,Port Hedland,AU,-20.31,118.58,80.6,69,36,5.82
332,Pisco,PE,-13.71,-76.2,71.6,30,40,18.34
333,Belmonte,BR,-26.84,-53.58,81.94,72,0,3.62
334,Balkanabat,TM,39.51,54.36,35.77,88,88,2.17
335,Biak,ID,-0.91,122.88,77.08,99,8,3.29
336,Tura,RU,64.27,100.22,2.29,64,44,2.17
337,Redding,US,40.59,-122.39,52.54,71,90,2.51
338,Hay River,CA,60.82,-115.79,6.8,50,40,3.62
339,Beloha,MG,-25.17,45.06,73.48,85,0,9.78
340,Snasa,NO,64.25,12.38,19.48,78,48,5.75
341,Elk Point,CA,53.9,-110.9,12.2,39,20,13.87
342,Upington,ZA,-28.46,21.24,77,31,0,6.93
343,Kampong Thum,KH,12.71,104.89,75.46,61,0,10.56
344,Margate,ZA,-30.86,30.37,73.44,90,80,17.38
345,Omsukchan,RU,62.53,155.8,-18.5,48,56,4.29
346,Tromso,NO,69.65,18.96,9.97,92,90,17.22
347,Luderitz,NA,-26.65,15.16,63.76,78,20,19.39
348,Taree,AU,-31.91,152.46,73,78,20,2.17
349,Saint-Pierre,RE,-21.34,55.48,75.65,74,0,6.93
350,Aykhal,RU,65.95,111.51,-5.18,51,8,7.09
351,Najran,SA,17.54,44.22,68,24,5,2.62
352,Santa Cruz,CR,10.26,-85.58,91.4,46,40,17.22
353,Grand Gaube,MU,-20.01,57.66,80.31,83,40,6.93
354,Vila Velha,BR,-3.71,-38.6,80.89,78,40,4.7
355,Hamada,JP,34.9,132.08,48,68,92,6.31
356,Verkhnevilyuysk,RU,63.45,120.31,-1.67,69,68,3.4
357,Ambam,CM,2.38,11.27,72.85,93,80,2.17
358,Bandarbeyla,SO,9.49,50.81,77.76,100,92,11.01
359,Cassilandia,BR,-19.11,-51.73,81.09,74,64,6.2
360,Opuwo,NA,-18.06,13.84,70.11,35,12,5.75
361,Kalaleh,IR,37.38,55.49,48.2,93,75,11.41
362,Ngunguru,NZ,-35.62,174.5,73,52,24,7.2
363,Kudat,MY,6.89,116.84,78.26,88,75,3.36
364,Port Macquarie,AU,-31.43,152.91,72.84,78,64,0.94
365,Katherine,AU,-14.47,132.26,77,78,0,5.82
366,Williston,US,48.15,-103.62,-1.22,70,40,21.92
367,Carahue,CL,-38.71,-73.16,64.4,48,0,14.99
368,Henties Bay,NA,-22.12,14.28,66.99,85,20,1.99
369,Extremoz,BR,-5.7,-35.3,80.6,88,75,4.7
370,Copalnic Manastur,RO,47.5,23.68,41.99,80,75,4.7
371,Tocopilla,CL,-22.09,-70.2,72.54,69,12,7.99
372,Banjarmasin,ID,-3.32,114.59,77.08,100,64,1.39
373,Kysyl-Syr,RU,63.9,122.77,-7.61,61,44,2.62
374,Xam Nua,LA,20.42,104.04,62.01,89,8,1.5
375,Lumsden,CA,50.65,-104.86,0.55,70,90,25.28
376,Georgetown,SH,-7.93,-14.42,81.94,98,64,12.35
377,Zapolyarnyy,RU,69.43,30.82,8.6,60,0,26.4
378,Erenhot,CN,43.65,111.97,11.11,63,8,2.39
379,Wanning,CN,18.8,110.4,76.54,98,20,9.78
380,Sillamae,EE,59.4,27.75,21.33,93,76,10.22
381,Merauke,ID,-8.49,140.4,78.52,99,56,5.53
382,Avenal,US,36,-120.13,62.31,55,75,8.66
383,Banepa,NP,27.63,85.52,46.4,93,20,3.36
384,Geraldton,AU,-28.77,114.6,66.2,93,40,5.82
385,Coria,ES,39.98,-6.54,53.01,64,0,6.42
386,Sambava,MG,-14.27,50.17,80.5,100,56,9.22
387,Prieska,ZA,-29.67,22.74,71.01,39,0,7.76
388,Okhotsk,RU,59.36,143.24,-7.7,100,0,6.64
389,Chokwe,MZ,-24.53,32.98,78.48,84,68,8.99
390,Olinda,BR,-22.82,-43.41,76.19,100,90,1.12
391,Iqaluit,CA,63.75,-68.52,-7.28,69,75,3.36
392,Samarai,PG,-10.62,150.67,80.19,100,0,3.18
393,Half Moon Bay,US,37.46,-122.43,54.77,93,75,10.29
394,Huanren,CN,41.26,125.37,20.74,72,0,2.06
395,Vidim,RU,56.41,103.11,3.01,62,0,2.39
396,Great Yarmouth,GB,52.61,1.73,48.99,71,76,24.16
397,Maniitsoq,GL,65.42,-52.9,17.5,91,68,1.5
398,Morondava,MG,-20.3,44.28,79.74,97,64,3.74
399,Murgab,TM,37.5,61.97,51.8,66,75,6.93
400,Kuryk,KZ,43.18,51.68,30.51,99,0,6.2
401,Dhankuta,NP,26.98,87.34,49.18,96,12,1.83
402,Passagem Franca,BR,-6.18,-43.78,72.18,96,92,2.17
403,Benguela,AO,-12.58,13.4,79.6,100,64,6.31
404,Vysokogornyy,RU,50.1,139.13,-8.78,45,0,2.17
405,Dwarka,IN,28.58,77.04,62.69,100,20,3.62
406,Impfondo,CG,1.64,18.07,75.96,90,32,2.62
407,Sarahan,IN,31.51,77.79,9.09,94,80,0.6
408,Okoneshnikovo,RU,54.84,75.08,30.64,88,68,20.4
409,San Patricio,MX,19.22,-104.7,82.4,69,20,11.41
410,Aginskoye,RU,51.11,114.54,19.12,74,44,6.98
411,Abha,SA,18.22,42.5,55.4,58,0,10.29
412,Bathurst,CA,47.63,-65.65,23.72,53,1,4.7
413,Dongying,CN,37.43,118.67,33.43,78,0,6.2
414,Vagamo,NO,61.88,9.1,18.85,97,76,2.06
415,San Carlos de Bariloche,AR,-41.13,-71.31,55.4,47,75,27.51
416,Baoding,CN,38.86,115.49,29.2,90,0,2.39
417,Timoteo,BR,-19.58,-42.64,82.03,69,0,3.96
418,Coxim,BR,-18.5,-54.75,88.6,52,20,4.41
419,Robertson,ZA,-33.8,19.88,57.19,76,0,1.61
420,Turukhansk,RU,65.8,87.96,15.66,78,56,15.03
421,Dixon,US,38.45,-121.82,58.78,77,90,13.87
422,Fayaoue,NC,-20.65,166.53,79.96,98,68,13.24
423,Beya,RU,53.05,90.92,21.78,77,68,2.73
424,Weligama,LK,5.97,80.42,74.83,100,24,3.96
425,Batemans Bay,AU,-35.71,150.18,70.97,41,20,1.99
426,Nyahururu,KE,0.03,36.37,49.72,85,8,1.16
427,Koundara,GN,12.49,-13.3,76.99,26,0,7.43
428,Baruun-Urt,MN,46.68,113.28,13.59,51,24,5.97
429,Aksu,CN,41.12,80.26,13.23,64,0,3.18
430,Fukue,JP,35.03,136.69,48.56,100,75,6.93
431,Goreloye,RU,52.92,41.5,25.6,87,88,20.51
432,Ancud,CL,-41.87,-73.83,53.6,87,90,4.7
